Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,battingStyle,playingRole,Batting_Order,Range
Devon Conway,2,6,0,0,33.30,Left hand Bat,Wicketkeeper Batter,1,1
Will Young,33,37,5,0,89.20,Right hand Bat,Top order Batter,2,"1,2,3"
Rachin Ravindra,9,16,1,0,56.30,Left hand Bat,Top order Batter,3,"2,3,4"
Daryl Mitchell,24,30,4,0,80.00,Right hand Bat,Allrounder,4,"3,4,5"
Tom Latham,4,15,0,0,26.70,Left hand Bat,Top order Batter,5,"4,5,6"
Glenn Phillips,60,50,4,4,120.00,Right hand Bat,Wicketkeeper Batter,6,"5,6,7"
Mitchell Santner,7,18,1,0,38.90,Left hand Bat,Bowling Allrounder,7,"6,7,8"
Tim Southee,7,11,1,0,63.60,Right hand Bat,Bowler,8,"7,8,9"
Jimmy Neesham,0,8,0,0,0.00,Left hand Bat,Allrounder,9,"8,9,10"
Trent Boult,9,14,1,0,64.30,Right hand Bat,Bowler,10,"9,10,11"
Matt Henry,0,9,0,0,0.00,Right hand Bat,Bowler,11,"10,11"
Rohit Sharma,4,2,1,0,200.00,Right hand Bat,Top order Batter,1,1
Shubman Gill,92,92,11,2,100.00,Right hand Bat,Top order Batter,2,"1,2,3"
Virat Kohli,88,94,11,0,93.60,Right hand Bat,Top order Batter,3,"2,3,4"
Shreyas Iyer,82,56,3,6,146.40,Right hand Bat,Top order Batter,4,"3,4,5"
KL Rahul,21,19,2,0,110.50,Right hand Bat,Opening Batter,5,"4,5,6"
Suryakumar Yadav,12,9,2,0,133.30,Right hand Bat,Batter,6,"5,6,7"
Ravindra Jadeja,35,24,1,1,145.80,Left hand Bat,Allrounder,7,"6,7,8"
Mohammed Shami,2,4,0,0,50.00,Right hand Bat,Bowler,8,"7,8,9"
Jasprit Bumrah,1,1,0,0,100.00,Right hand Bat,Bowler,9,"8,9,10"
Pathum Nissanka,0,1,0,0,0.00,Right hand Bat,Top order Batter,1,1
Dimuth Karunaratne,0,1,0,0,0.00,Left hand Bat,Top order Batter,2,"1,2,3"
Kusal Mendis,1,10,0,0,10.00,Right hand Bat,Wicketkeeper Batter,3,"2,3,4"
Sadeera Samarawickrama,0,4,0,0,0.00,Right hand Bat,Top order Batter,4,"3,4,5"
Charith Asalanka,1,24,0,0,4.20,Left hand Bat,Batting Allrounder,5,"4,5,6"
Angelo Mathews,12,25,1,0,48.00,Right hand Bat,Allrounder,6,"5,6,7"
Dushmantha Chameera,0,6,0,0,0.00,Right hand Bat,Bowler,8,"7,8,9"
Maheesh Theekshana,12,23,2,0,52.20,Right hand Bat,Bowler,9,"8,9,10"
Kasun Rajitha,14,17,2,0,82.40,Right hand Bat,Bowler,10,"9,10,11"
Max O'Dowd,42,40,9,0,105.00,Right hand Bat,Opening Batter,2,"1,2,3"
Colin Ackermann,29,35,4,0,82.90,Right hand Bat,Batting Allrounder,3,"2,3,4"
Bas de Leede,3,6,0,0,50.00,Right hand Bat,Batting Allrounder,6,"5,6,7"
Logan van Beek,2,13,0,0,15.40,Right hand Bat,Bowler,8,"7,8,9"
Roelof van der Merwe,11,33,0,0,33.30,Right hand Bat,Allrounder,9,"8,9,10"
Paul van Meekeren,4,24,0,0,16.70,Right hand Bat,Bowler,11,"10,11"
Rahmanullah Gurbaz,10,11,2,0,90.90,Right hand Bat,Wicketkeeper Batter,1,1
Ibrahim Zadran,20,34,2,0,58.80,Right hand Bat,Opening Batter,2,"1,2,3"
Rahmat Shah,52,54,8,0,96.30,Right hand Bat,Top order Batter,3,"2,3,4"
Hashmatullah Shahidi,56,64,6,0,87.50,Left hand Bat,Top order Batter,4,"3,4,5"
Azmatullah Omarzai,31,28,3,0,110.70,Right hand Bat,Allrounder,5,"4,5,6"
Devon Conway,35,39,6,0,89.70,Left hand Bat,Wicketkeeper Batter,1,1
Rachin Ravindra,108,94,15,1,114.90,Left hand Bat,Top order Batter,2,"1,2,3"
Kane Williamson,95,79,10,2,120.30,Right hand Bat,Top order Batter,3,"2,3,4"
Daryl Mitchell,29,18,4,1,161.10,Right hand Bat,Allrounder,4,"3,4,5"
Mark Chapman,39,27,7,0,144.40,Left hand Bat,Middle order Batter,5,"4,5,6"
Glenn Phillips,41,25,4,2,164.00,Right hand Bat,Wicketkeeper Batter,6,"5,6,7"
Mitchell Santner,26,17,0,2,152.90,Left hand Bat,Bowling Allrounder,7,"6,7,8"
Tom Latham,2,2,0,0,100.00,Left hand Bat,Top order Batter,8,"7,8,9"
Abdullah Shafique,4,9,1,0,44.40,Right hand Bat,Top order Batter,1,1
Fakhar Zaman,126,81,8,11,155.60,Left hand Bat,Opening Batter,2,"1,2,3"
Babar Azam,66,63,6,2,104.80,Right hand Bat,Top order Batter,3,"2,3,4"
Travis Head,11,10,1,0,110.00,Left hand Bat,Middle order Batter,1,1
David Warner,15,16,1,1,93.80,Left hand Bat,Opening Batter,2,"1,2,3"
Steve Smith,44,52,3,0,84.60,Right hand Bat,Top order Batter,3,"2,3,4"
Marnus Labuschagne,71,83,7,0,85.50,Right hand Bat,Top order Batter,4,"3,4,5"
Josh Inglis,3,6,0,0,50.00,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Cameron Green,47,52,5,0,90.40,Right hand Bat,Batting Allrounder,6,"5,6,7"
Marcus Stoinis,35,32,3,2,109.40,Right hand Bat,Batting Allrounder,7,"6,7,8"
Pat Cummins,10,13,1,0,76.90,Right hand Bat,Bowler,8,"7,8,9"
Mitchell Starc,10,13,0,0,76.90,Left hand Bat,Bowler,9,"8,9,10"
Adam Zampa,29,19,4,0,152.60,Right hand Bat,Bowler,10,"9,10,11"
Josh Hazlewood,1,1,0,0,100.00,Left hand Bat,Bowler,11,"10,11"
Jonny Bairstow,0,1,0,0,0.00,Right hand Bat,Wicketkeeper Batter,1,1
Dawid Malan,50,64,4,1,78.10,Left hand Bat,Top order Batter,2,"1,2,3"
Joe Root,13,17,2,0,76.50,Right hand Bat,Top order Batter,3,"2,3,4"
Ben Stokes,64,90,2,3,71.10,Left hand Bat,Allrounder,4,"3,4,5"
Jos Buttler,1,7,0,0,14.30,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Moeen Ali,42,43,6,0,97.70,Left hand Bat,Batting Allrounder,6,"5,6,7"
Liam Livingstone,2,5,0,0,40.00,Right hand Bat,Batting Allrounder,7,"6,7,8"
Chris Woakes,32,33,4,1,97.00,Right hand Bat,Allrounder,8,"7,8,9"
David Willey,15,14,3,0,107.10,Left hand Bat,Bowler,9,"8,9,10"
Adil Rashid,20,15,1,1,133.30,Right hand Bat,Bowler,10,"9,10,11"
Mark Wood,0,0,0,0,0.00,Right hand Bat,Bowler,11,"10,11"
Rohit Sharma,40,24,6,2,166.70,Right hand Bat,Top order Batter,1,1
Shubman Gill,23,24,4,1,95.80,Right hand Bat,Top order Batter,2,"1,2,3"
Virat Kohli,101,121,10,0,83.50,Right hand Bat,Top order Batter,3,"2,3,4"
Shreyas Iyer,77,87,7,2,88.50,Right hand Bat,Top order Batter,4,"3,4,5"
KL Rahul,8,17,0,0,47.10,Right hand Bat,Opening Batter,5,"4,5,6"
Suryakumar Yadav,22,14,5,0,157.10,Right hand Bat,Batter,6,"5,6,7"
Ravindra Jadeja,29,15,3,1,193.30,Left hand Bat,Allrounder,7,"6,7,8"
Quinton de Kock,5,10,1,0,50.00,Left hand Bat,Wicketkeeper Batter,1,1
Temba Bavuma,11,19,1,0,57.90,Right hand Bat,Top order Batter,2,"1,2,3"
Rassie van der Dussen,13,32,1,0,40.60,Right hand Bat,Top order Batter,3,"2,3,4"
Aiden Markram,9,6,2,0,150.00,Right hand Bat,Opening Batter,4,"3,4,5"
Heinrich Klaasen,1,11,0,0,9.10,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
David Miller,11,11,2,0,100.00,Left hand Bat,Middle order Batter,6,"5,6,7"
Marco Jansen,14,30,1,0,46.70,Left hand Bat,Allrounder,7,"6,7,8"
Keshav Maharaj,7,11,1,0,63.60,Right hand Bat,Bowler,8,"7,8,9"
Kagiso Rabada,6,26,0,0,23.10,Left hand Bat,Bowler,9,"8,9,10"
Lungi Ngidi,0,3,0,0,0.00,Right hand Bat,Bowler,10,"9,10,11"
Tabraiz Shamsi,4,4,1,0,100.00,Right hand Bat,Bowler,11,"10,11"
Pathum Nissanka,41,36,8,0,113.90,Right hand Bat,Top order Batter,1,1
Kusal Janith Perera,4,5,1,0,80.00,Left hand Bat,Top order Batter,2,"1,2,3"
Kusal Mendis,19,30,1,1,63.30,Right hand Bat,Wicketkeeper Batter,3,"2,3,4"
Sadeera Samarawickrama,41,42,4,0,97.60,Right hand Bat,Top order Batter,4,"3,4,5"
Charith Asalanka,108,105,6,5,102.90,Left hand Bat,Batting Allrounder,5,"4,5,6"
Angelo Mathews,0,0,0,0,0.00,Right hand Bat,Allrounder,6,"5,6,7"
Dhananjaya de Silva,34,36,4,1,94.40,Right hand Bat,Allrounder,7,"6,7,8"
Maheesh Theekshana,21,31,3,0,67.70,Right hand Bat,Bowler,8,"7,8,9"
Dushmantha Chameera,4,9,0,0,44.40,Right hand Bat,Bowler,9,"8,9,10"
Kasun Rajitha,0,2,0,0,0.00,Right hand Bat,Bowler,10,"9,10,11"
Tanzid Hasan,9,5,2,0,180.00,Left hand Bat,Top order Batter,1,1
Litton Das,23,22,2,2,104.50,Right hand Bat,Wicketkeeper Batter,2,"1,2,3"
Najmul Hossain Shanto,90,101,12,0,89.10,Left hand Bat,Top order Batter,3,"2,3,4"
Shakib Al Hasan,82,65,12,2,126.20,Left hand Bat,Allrounder,4,"3,4,5"
Mahmudullah,22,23,3,1,95.70,Right hand Bat,Middle order Batter,5,"4,5,6"
Mushfiqur Rahim,10,13,1,0,76.90,Right hand Bat,Middle order Batter,6,"5,6,7"
Towhid Hridoy,15,7,0,2,214.30,Right hand Bat,Middle order Batter,7,"6,7,8"
Mehidy Hasan Miraz,3,5,0,0,60.00,Right hand Bat,Allrounder,8,"7,8,9"
Tanzim Hasan,5,6,1,0,83.30,Left hand Bat,Top order Batter,9,"8,9,10"
Rahmanullah Gurbaz,21,25,2,0,84.00,Right hand Bat,Wicketkeeper Batter,1,1
Ibrahim Zadran,129,143,8,3,90.20,Right hand Bat,Opening Batter,2,"1,2,3"
Rahmat Shah,30,44,1,0,68.20,Right hand Bat,Top order Batter,3,"2,3,4"
Hashmatullah Shahidi,26,43,2,0,60.50,Left hand Bat,Top order Batter,4,"3,4,5"
Azmatullah Omarzai,22,18,1,2,122.20,Right hand Bat,Allrounder,5,"4,5,6"
Mohammad Nabi,12,10,0,1,120.00,Right hand Bat,Allrounder,6,"5,6,7"
Rashid Khan,35,18,2,3,194.40,Right hand Bat,Bowling Allrounder,7,"6,7,8"
David Warner,18,29,3,0,62.10,Left hand Bat,Opening Batter,1,1
Travis Head,0,2,0,0,0.00,Left hand Bat,Middle order Batter,2,"1,2,3"
Mitchell Marsh,24,11,2,2,218.20,Right hand Bat,Allrounder,3,"2,3,4"
Marnus Labuschagne,14,28,2,0,50.00,Right hand Bat,Top order Batter,4,"3,4,5"
Josh Inglis,0,1,0,0,0.00,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Glenn Maxwell,201,128,21,10,157.00,Right hand Bat,Batting Allrounder,6,"5,6,7"
Marcus Stoinis,6,7,1,0,85.70,Right hand Bat,Batting Allrounder,7,"6,7,8"
Mitchell Starc,3,7,0,0,42.90,Left hand Bat,Bowler,8,"7,8,9"
Pat Cummins,12,68,1,0,17.60,Right hand Bat,Bowler,9,"8,9,10"
Jonny Bairstow,15,17,2,0,88.20,Right hand Bat,Wicketkeeper Batter,1,1
Dawid Malan,87,74,10,2,117.60,Left hand Bat,Top order Batter,2,"1,2,3"
Joe Root,28,35,1,0,80.00,Right hand Bat,Top order Batter,3,"2,3,4"
Ben Stokes,108,84,6,6,128.60,Left hand Bat,Allrounder,4,"3,4,5"
Harry Brook,11,16,2,0,68.80,Right hand Bat,Batter,5,"4,5,6"
Jos Buttler,5,11,0,0,45.50,Right hand Bat,Wicketkeeper Batter,6,"5,6,7"
Moeen Ali,4,15,0,0,26.70,Left hand Bat,Batting Allrounder,7,"6,7,8"
Chris Woakes,51,45,5,1,113.30,Right hand Bat,Allrounder,8,"7,8,9"
David Willey,6,2,0,1,300.00,Left hand Bat,Bowler,9,"8,9,10"
Adil Rashid,1,1,0,0,100.00,Right hand Bat,Bowler,11,"10,11"
Max O'Dowd,5,11,1,0,45.50,Right hand Bat,Opening Batter,2,"1,2,3"
Colin Ackermann,0,2,0,0,0.00,Right hand Bat,Batting Allrounder,3,"2,3,4"
Bas de Leede,10,12,2,0,83.30,Right hand Bat,Batting Allrounder,6,"5,6,7"
Logan van Beek,2,2,0,0,100.00,Right hand Bat,Bowler,8,"7,8,9"
Roelof van der Merwe,0,4,0,0,0.00,Right hand Bat,Allrounder,9,"8,9,10"
Paul van Meekeren,4,3,1,0,133.30,Right hand Bat,Bowler,11,"10,11"
Pathum Nissanka,2,8,0,0,25.00,Right hand Bat,Top order Batter,1,1
Kusal Janith Perera,51,28,9,2,182.10,Left hand Bat,Top order Batter,2,"1,2,3"
Kusal Mendis,6,7,1,0,85.70,Right hand Bat,Wicketkeeper Batter,3,"2,3,4"
Sadeera Samarawickrama,1,2,0,0,50.00,Right hand Bat,Top order Batter,4,"3,4,5"
Charith Asalanka,8,8,1,0,100.00,Left hand Bat,Batting Allrounder,5,"4,5,6"
Angelo Mathews,16,27,2,0,59.30,Right hand Bat,Allrounder,6,"5,6,7"
Dhananjaya de Silva,19,24,2,1,79.20,Right hand Bat,Allrounder,7,"6,7,8"
Chamika Karunaratne,6,17,1,0,35.30,Right hand Bat,Bowling Allrounder,8,"7,8,9"
Maheesh Theekshana,38,91,3,0,41.80,Right hand Bat,Bowler,9,"8,9,10"
Dushmantha Chameera,1,20,0,0,5.00,Right hand Bat,Bowler,10,"9,10,11"
Devon Conway,45,42,9,0,107.10,Left hand Bat,Wicketkeeper Batter,1,1
Rachin Ravindra,42,34,3,3,123.50,Left hand Bat,Top order Batter,2,"1,2,3"
Kane Williamson,14,15,2,0,93.30,Right hand Bat,Top order Batter,3,"2,3,4"
Daryl Mitchell,43,31,5,2,138.70,Right hand Bat,Allrounder,4,"3,4,5"
Mark Chapman,7,6,1,0,116.70,Left hand Bat,Middle order Batter,5,"4,5,6"
Glenn Phillips,17,10,3,0,170.00,Right hand Bat,Wicketkeeper Batter,6,"5,6,7"
Tom Latham,2,2,0,0,100.00,Left hand Bat,Top order Batter,7,"6,7,8"
Rahmanullah Gurbaz,25,22,3,1,113.60,Right hand Bat,Wicketkeeper Batter,1,1
Ibrahim Zadran,15,30,3,0,50.00,Right hand Bat,Opening Batter,2,"1,2,3"
Rahmat Shah,26,46,2,0,56.50,Right hand Bat,Top order Batter,3,"2,3,4"
Hashmatullah Shahidi,2,7,0,0,28.60,Left hand Bat,Top order Batter,4,"3,4,5"
Azmatullah Omarzai,97,107,7,3,90.70,Right hand Bat,Allrounder,5,"4,5,6"
Ikram Alikhil,12,14,1,1,85.70,Left hand Bat,Wicketkeeper Batter,6,"5,6,7"
Mohammad Nabi,2,3,0,0,66.70,Right hand Bat,Allrounder,7,"6,7,8"
Rashid Khan,14,30,0,0,46.70,Right hand Bat,Bowling Allrounder,8,"7,8,9"
Noor Ahmad,26,32,4,0,81.30,Left hand Bat,Bowler,9,"8,9,10"
Mujeeb Ur Rahman,8,5,0,1,160.00,Right hand Bat,Bowler,10,"9,10,11"
Naveen-ul-Haq,2,4,0,0,50.00,Right hand Bat,Bowler,11,"10,11"
Quinton de Kock,41,47,2,3,87.20,Left hand Bat,Wicketkeeper Batter,1,1
Temba Bavuma,23,28,3,0,82.10,Right hand Bat,Top order Batter,2,"1,2,3"
Rassie van der Dussen,76,95,6,1,80.00,Right hand Bat,Top order Batter,3,"2,3,4"
Aiden Markram,25,32,1,1,78.10,Right hand Bat,Opening Batter,4,"3,4,5"
Heinrich Klaasen,10,13,1,0,76.90,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
David Miller,24,33,1,1,72.70,Left hand Bat,Middle order Batter,6,"5,6,7"
Andile Phehlukwayo,39,37,1,3,105.40,Left hand Bat,Allrounder,7,"6,7,8"
Tanzid Hasan,36,34,6,0,105.90,Left hand Bat,Top order Batter,1,1
Litton Das,36,45,5,0,80.00,Right hand Bat,Wicketkeeper Batter,2,"1,2,3"
Najmul Hossain Shanto,45,57,6,0,78.90,Left hand Bat,Top order Batter,3,"2,3,4"
Towhid Hridoy,74,79,5,2,93.70,Right hand Bat,Middle order Batter,4,"3,4,5"
Mahmudullah,32,28,1,3,114.30,Right hand Bat,Middle order Batter,5,"4,5,6"
Mushfiqur Rahim,21,24,0,1,87.50,Right hand Bat,Middle order Batter,6,"5,6,7"
Mehidy Hasan Miraz,29,20,4,0,145.00,Right hand Bat,Allrounder,7,"6,7,8"
Nasum Ahmed,7,11,0,0,63.60,Left hand Bat,Bowler,8,"7,8,9"
Mahedi Hasan,2,3,0,0,66.70,Right hand Bat,Allrounder,9,"8,9,10"
Taskin Ahmed,0,1,0,0,0.00,Left hand Bat,Bowler,10,"9,10,11"
Travis Head,10,11,2,0,90.90,Left hand Bat,Middle order Batter,1,1
David Warner,53,61,6,0,86.90,Left hand Bat,Opening Batter,2,"1,2,3"
Mitchell Marsh,177,132,17,9,134.10,Right hand Bat,Allrounder,3,"2,3,4"
Steve Smith,63,64,4,1,98.40,Right hand Bat,Top order Batter,4,"3,4,5"
Dawid Malan,31,39,5,0,79.50,Left hand Bat,Top order Batter,1,1
Jonny Bairstow,59,61,7,1,96.70,Right hand Bat,Wicketkeeper Batter,2,"1,2,3"
Joe Root,60,72,4,0,83.30,Right hand Bat,Top order Batter,3,"2,3,4"
Ben Stokes,84,76,11,2,110.50,Left hand Bat,Allrounder,4,"3,4,5"
Jos Buttler,27,18,3,1,150.00,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Harry Brook,30,17,2,2,176.50,Right hand Bat,Batter,6,"5,6,7"
Moeen Ali,8,6,0,1,133.30,Left hand Bat,Batting Allrounder,7,"6,7,8"
Chris Woakes,4,4,1,0,100.00,Right hand Bat,Allrounder,8,"7,8,9"
David Willey,15,5,2,1,300.00,Left hand Bat,Bowler,9,"8,9,10"
Adil Rashid,0,1,0,0,0.00,Right hand Bat,Bowler,11,"10,11"
Abdullah Shafique,0,2,0,0,0.00,Right hand Bat,Top order Batter,1,1
Fakhar Zaman,1,9,0,0,11.10,Left hand Bat,Opening Batter,2,"1,2,3"
Babar Azam,38,45,6,0,84.40,Right hand Bat,Top order Batter,3,"2,3,4"
Mohammad Rizwan,36,51,2,0,70.60,Right hand Bat,Wicketkeeper Batter,4,"3,4,5"
Saud Shakeel,29,37,4,0,78.40,Left hand Bat,Middle order Batter,5,"4,5,6"
Agha Salman,51,45,6,1,113.30,Right hand Bat,Allrounder,6,"5,6,7"
Iftikhar Ahmed,3,5,0,0,60.00,Right hand Bat,Middle order Batter,7,"6,7,8"
Shadab Khan,4,7,1,0,57.10,Right hand Bat,Allrounder,8,"7,8,9"
Shaheen Afridi,25,23,3,1,108.70,Left hand Bat,Bowler,9,"8,9,10"
Mohammad Wasim Jr,16,14,2,1,114.30,Right hand Bat,Bowler,10,"9,10,11"
Haris Rauf,35,23,3,3,152.20,Right hand Bat,Bowler,11,"10,11"
Rohit Sharma,61,54,8,2,113.00,Right hand Bat,Top order Batter,1,1
Shubman Gill,51,32,3,4,159.40,Right hand Bat,Top order Batter,2,"1,2,3"
Virat Kohli,51,56,5,1,91.10,Right hand Bat,Top order Batter,3,"2,3,4"
Shreyas Iyer,128,94,10,5,136.20,Right hand Bat,Top order Batter,4,"3,4,5"
KL Rahul,102,64,11,4,159.40,Right hand Bat,Opening Batter,5,"4,5,6"
Suryakumar Yadav,2,1,0,0,200.00,Right hand Bat,Batter,6,"5,6,7"
Max O'Dowd,30,42,3,1,71.40,Right hand Bat,Opening Batter,2,"1,2,3"
Colin Ackermann,35,32,6,0,109.40,Right hand Bat,Batting Allrounder,3,"2,3,4"
Bas de Leede,12,21,1,0,57.10,Right hand Bat,Batting Allrounder,6,"5,6,7"
Logan van Beek,16,15,2,0,106.70,Right hand Bat,Bowler,8,"7,8,9"
Roelof van der Merwe,16,8,1,2,200.00,Right hand Bat,Allrounder,9,"8,9,10"
Paul van Meekeren,3,4,0,0,75.00,Right hand Bat,Bowler,11,"10,11"
Rohit Sharma,47,29,4,4,162.10,Right hand Bat,Top order Batter,1,1
Shubman Gill,80,66,8,3,121.20,Right hand Bat,Top order Batter,2,"1,2,3"
Virat Kohli,117,113,9,2,103.50,Right hand Bat,Top order Batter,3,"2,3,4"
Shreyas Iyer,105,70,4,8,150.00,Right hand Bat,Top order Batter,4,"3,4,5"
KL Rahul,39,20,5,2,195.00,Right hand Bat,Opening Batter,5,"4,5,6"
Suryakumar Yadav,1,2,0,0,50.00,Right hand Bat,Batter,6,"5,6,7"
Devon Conway,13,15,3,0,86.70,Left hand Bat,Wicketkeeper Batter,1,1
Rachin Ravindra,13,22,3,0,59.10,Left hand Bat,Top order Batter,2,"1,2,3"
Kane Williamson,69,73,8,1,94.50,Right hand Bat,Top order Batter,3,"2,3,4"
Daryl Mitchell,134,119,9,7,112.60,Right hand Bat,Allrounder,4,"3,4,5"
Tom Latham,0,2,0,0,0.00,Left hand Bat,Top order Batter,5,"4,5,6"
Glenn Phillips,41,33,4,2,124.20,Right hand Bat,Wicketkeeper Batter,6,"5,6,7"
Mark Chapman,2,5,0,0,40.00,Left hand Bat,Middle order Batter,7,"6,7,8"
Mitchell Santner,9,10,0,0,90.00,Left hand Bat,Bowling Allrounder,8,"7,8,9"
Tim Southee,9,10,1,0,90.00,Right hand Bat,Bowler,9,"8,9,10"
Trent Boult,2,2,0,0,100.00,Right hand Bat,Bowler,10,"9,10,11"
Lockie Ferguson,6,3,0,1,200.00,Right hand Bat,Bowler,11,"10,11"
Rohit Sharma,47,31,4,3,151.60,Right hand Bat,Top order Batter,1,1
Shubman Gill,4,7,0,0,57.10,Right hand Bat,Top order Batter,2,"1,2,3"
Virat Kohli,54,63,4,0,85.70,Right hand Bat,Top order Batter,3,"2,3,4"
Shreyas Iyer,4,3,1,0,133.30,Right hand Bat,Top order Batter,4,"3,4,5"
KL Rahul,66,107,1,0,61.70,Right hand Bat,Opening Batter,5,"4,5,6"
Ravindra Jadeja,9,22,0,0,40.90,Left hand Bat,Allrounder,6,"5,6,7"
Suryakumar Yadav,18,28,1,0,64.30,Right hand Bat,Batter,7,"6,7,8"
Mohammed Shami,6,10,1,0,60.00,Right hand Bat,Bowler,8,"7,8,9"
Jasprit Bumrah,1,3,0,0,33.30,Right hand Bat,Bowler,9,"8,9,10"
Kuldeep Yadav,10,18,0,0,55.60,Left hand Bat,Bowler,10,"9,10,11"
Mohammed Siraj,9,8,1,0,112.50,Right hand Bat,Bowler,11,"10,11"
David Warner,7,3,1,0,233.30,Left hand Bat,Opening Batter,1,1
Travis Head,137,120,15,4,114.20,Left hand Bat,Middle order Batter,2,"1,2,3"
Mitchell Marsh,15,15,1,1,100.00,Right hand Bat,Allrounder,3,"2,3,4"
Steve Smith,4,9,1,0,44.40,Right hand Bat,Top order Batter,4,"3,4,5"
Marnus Labuschagne,58,110,4,0,52.70,Right hand Bat,Top order Batter,5,"4,5,6"
Glenn Maxwell,2,1,0,0,200.00,Right hand Bat,Batting Allrounder,6,"5,6,7"
