Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,battingStyle,playingRole,Batting_Order,Range
Najmul Hossain Shanto,0,1,0,0,0.00,Left hand Bat,Top order Batter,3,"2,3,4"
Shakib Al Hasan,1,9,0,0,11.10,Left hand Bat,Allrounder,4,"3,4,5"
Mehidy Hasan Miraz,8,7,1,0,114.30,Right hand Bat,Allrounder,5,"4,5,6"
Mushfiqur Rahim,51,64,4,0,79.70,Right hand Bat,Middle order Batter,6,"5,6,7"
Towhid Hridoy,39,61,2,0,63.90,Right hand Bat,Middle order Batter,7,"6,7,8"
Mahedi Hasan,14,32,1,0,43.80,Right hand Bat,Allrounder,8,"7,8,9"
Taskin Ahmed,15,25,0,1,60.00,Left hand Bat,Bowler,9,"8,9,10"
Shoriful Islam,12,14,2,0,85.70,Left hand Bat,Bowler,10,"9,10,11"
Mustafizur Rahman,3,9,0,0,33.30,Left hand Bat,Bowler,11,"10,11"
Pathum Nissanka,51,61,7,1,83.60,Right hand Bat,Top order Batter,1,1
Kusal Janith Perera,0,4,0,0,0.00,Left hand Bat,Top order Batter,2,"1,2,3"
Kusal Mendis,122,77,14,6,158.40,Right hand Bat,Wicketkeeper Batter,3,"2,3,4"
Sadeera Samarawickrama,108,89,11,2,121.30,Right hand Bat,Top order Batter,4,"3,4,5"
Charith Asalanka,1,3,0,0,33.30,Left hand Bat,Batting Allrounder,5,"4,5,6"
Dhananjaya de Silva,25,34,3,0,73.50,Right hand Bat,Allrounder,6,"5,6,7"
Dasun Shanaka,12,18,0,0,66.70,Right hand Bat,Allrounder,7,"6,7,8"
Maheesh Theekshana,0,4,0,0,0.00,Right hand Bat,Bowler,9,"8,9,10"
Abdullah Shafique,113,103,10,3,109.70,Right hand Bat,Top order Batter,1,1
Imam-ul-Haq,12,12,1,0,100.00,Left hand Bat,Top order Batter,2,"1,2,3"
Babar Azam,10,15,1,0,66.70,Right hand Bat,Top order Batter,3,"2,3,4"
Mohammad Rizwan,131,121,8,3,108.30,Right hand Bat,Wicketkeeper Batter,4,"3,4,5"
Saud Shakeel,31,30,2,0,103.30,Left hand Bat,Middle order Batter,5,"4,5,6"
Iftikhar Ahmed,22,10,4,0,220.00,Right hand Bat,Middle order Batter,6,"5,6,7"
Rahmanullah Gurbaz,21,28,3,1,75.00,Right hand Bat,Wicketkeeper Batter,1,1
Ibrahim Zadran,22,28,4,0,78.60,Right hand Bat,Opening Batter,2,"1,2,3"
Rahmat Shah,16,22,3,0,72.70,Right hand Bat,Top order Batter,3,"2,3,4"
Hashmatullah Shahidi,80,88,8,1,90.90,Left hand Bat,Top order Batter,4,"3,4,5"
Azmatullah Omarzai,62,69,2,4,89.90,Right hand Bat,Allrounder,5,"4,5,6"
Mohammad Nabi,19,27,1,0,70.40,Right hand Bat,Allrounder,6,"5,6,7"
Najibullah Zadran,2,8,0,0,25.00,Left hand Bat,Middle order Batter,7,"6,7,8"
Rashid Khan,16,12,1,1,133.30,Right hand Bat,Bowling Allrounder,8,"7,8,9"
Mujeeb Ur Rahman,10,12,2,0,83.30,Right hand Bat,Bowler,9,"8,9,10"
Naveen-ul-Haq,9,8,1,0,112.50,Right hand Bat,Bowler,10,"9,10,11"
Rohit Sharma,131,84,16,5,156.00,Right hand Bat,Top order Batter,1,1
Ishan Kishan,47,47,5,2,100.00,Left hand Bat,Top order Batter,2,"1,2,3"
Virat Kohli,55,56,6,0,98.20,Right hand Bat,Top order Batter,3,"2,3,4"
Shreyas Iyer,25,23,1,1,108.70,Right hand Bat,Top order Batter,4,"3,4,5"
Quinton de Kock,109,106,8,5,102.80,Left hand Bat,Wicketkeeper Batter,1,1
Quinton de Kock,109,106,8,5,102.80,Left hand Bat,Wicketkeeper Batter,1,1
Temba Bavuma,35,55,2,0,63.60,Right hand Bat,Top order Batter,2,"1,2,3"
Temba Bavuma,35,55,2,0,63.60,Right hand Bat,Top order Batter,2,"1,2,3"
Rassie van der Dussen,26,30,2,0,86.70,Right hand Bat,Top order Batter,3,"2,3,4"
