season,team1,team2,date,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type
2023/24,Pakistan,Afghanistan,23/10/23,22,MA Chidambaram Stadium,Chennai,Pakistan,bat,Ibrahim Zadran,PR Reiffel,RJ Tucker,HDPK Dharmasena,RB Richardson,Afghanistan,,8,Group
2023/24,South Africa,Bangladesh,24/10/23,23,Wankhede Stadium,Mumbai,South Africa,bat,Q de Kock,Ahsan Raza,JS Wilson,KN Ananthapadmanabhan,JJ Crowe,South Africa,149,,Group
2023/24,Australia,Netherlands,25/10/23,24,Arun Jaitley Stadium,Delhi,Australia,bat,GJ Maxwell,MA Gough,Sharfuddoula,Nitin Menon,AJ Pycroft,Australia,309,,Group
2023/24,England,Sri Lanka,26/10/23,25,M Chinnaswamy Stadium,Bengaluru,England,bat,CBRLS Kumara,AT Holdstock,CM Brown,RJ Tucker,J Srinath,Sri Lanka,,8,Group
2023/24,Pakistan,South Africa,27/10/23,26,MA Chidambaram Stadium,Chennai,Pakistan,bat,T Shamsi,AG Wharf,PR Reiffel,RA Kettleborough,RB Richardson,South Africa,,1,Group
2023/24,Australia,New Zealand,28/10/23,27,Himachal Pradesh Cricket Association Stadium,Dharamsala,New Zealand,field,TM Head,M Erasmus,Sharfuddoula,MA Gough,AJ Pycroft,Australia,5,,Group
2023/24,Netherlands,Bangladesh,28/10/23,28,Eden Gardens,Kolkata,Netherlands,bat,PA van Meekeren,JS Wilson,P Wilson,CB Gaffaney,JJ Crowe,Netherlands,87,,Group
2023/24,India,England,29/10/23,29,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,England,field,RG Sharma,AT Holdstock,RJ Tucker,CM Brown,RB Richardson,India,100,,Group
2023/24,Sri Lanka,Afghanistan,30/10/23,30,Maharashtra Cricket Association Stadium,Pune,Afghanistan,field,Fazalhaq Farooqi,CB Gaffaney,RK Illingworth,M Erasmus,J Srinath,Afghanistan,,7,Group
2023/24,Bangladesh,Pakistan,31/10/23,31,Eden Gardens,Kolkata,Bangladesh,bat,Fakhar Zaman,Nitin Menon,RA Kettleborough,PR Reiffel,AJ Pycroft,Pakistan,,7,Group
2023/24,South Africa,New Zealand,01/11/23,32,Maharashtra Cricket Association Stadium,Pune,New Zealand,field,HE van der Dussen,Ahsan Raza,HDPK Dharmasena,P Wilson,RB Richardson,South Africa,190,,Group
2023/24,India,Sri Lanka,02/11/23,33,Wankhede Stadium,Mumbai,Sri Lanka,field,Mohammed Shami,CM Brown,PR Reiffel,RK Illingworth,JJ Crowe,India,302,,Group
2023/24,Netherlands,Afghanistan,03/11/23,34,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Netherlands,bat,Mohammad Nabi,Nitin Menon,Sharfuddoula,HDPK Dharmasena,J Srinath,Afghanistan,,7,Group
2023/24,New Zealand,Pakistan,04/11/23,35,M Chinnaswamy Stadium,Bengaluru,Pakistan,field,Fakhar Zaman,P Wilson,RA Kettleborough,JS Wilson,RB Richardson,Pakistan,21,,Group
2023/24,Australia,England,04/11/23,36,Narendra Modi Stadium,Ahmedabad,England,field,A Zampa,CB Gaffaney,M Erasmus,Ahsan Raza,JJ Crowe,Australia,33,,Group
2023/24,India,South Africa,05/11/23,37,Eden Gardens,Kolkata,India,bat,V Kohli,HDPK Dharmasena,PR Reiffel,AG Wharf,AJ Pycroft,India,243,,Group
2023/24,Sri Lanka,Bangladesh,06/11/23,38,Arun Jaitley Stadium,Delhi,Bangladesh,field,Shakib Al Hasan,M Erasmus,RK Illingworth,AT Holdstock,RB Richardson,Bangladesh,,3,Group
2023/24,Afghanistan,Australia,07/11/23,39,Wankhede Stadium,Mumbai,Afghanistan,bat,GJ Maxwell,AG Wharf,MA Gough,Sharfuddoula,JJ Crowe,Australia,,3,Group
2023/24,England,Netherlands,08/11/23,40,Maharashtra Cricket Association Stadium,Pune,England,bat,BA Stokes,Ahsan Raza,RJ Tucker,P Wilson,AJ Pycroft,England,160,,Group
2023/24,Sri Lanka,New Zealand,09/11/23,41,M Chinnaswamy Stadium,Bengaluru,New Zealand,field,TA Boult,AT Holdstock,JS Wilson,PR Reiffel,J Srinath,New Zealand,,5,Group
2023/24,Afghanistan,South Africa,10/11/23,42,Narendra Modi Stadium,Ahmedabad,Afghanistan,bat,HE van der Dussen,CM Brown,Nitin Menon,CB Gaffaney,JJ Crowe,South Africa,,5,Group
2023/24,Bangladesh,Australia,11/11/23,43,Maharashtra Cricket Association Stadium,Pune,Australia,field,MR Marsh,Ahsan Raza,M Erasmus,RA Kettleborough,AJ Pycroft,Australia,,8,Group
2023/24,England,Pakistan,11/11/23,44,Eden Gardens,Kolkata,England,bat,DJ Willey,P Wilson,RJ Tucker,PR Reiffel,J Srinath,England,93,,Group
2023/24,India,Netherlands,12/11/23,45,M Chinnaswamy Stadium,Bengaluru,India,bat,SS Iyer,CB Gaffaney,MA Gough,CM Brown,RB Richardson,India,160,,Group
2023/24,India,New Zealand,15/11/23,46,Wankhede Stadium,Mumbai,India,bat,Mohammed Shami,RK Illingworth,RJ Tucker,AT Holdstock,AJ Pycroft,India,70,,Semi Final
2023/24,South Africa,Australia,16/11/23,47,Eden Gardens,Kolkata,South Africa,bat,TM Head,Nitin Menon,RA Kettleborough,MA Gough,J Srinath,Australia,,3,Semi Final
2023/24,India,Australia,19/11/23,48,Narendra Modi Stadium,Ahmedabad,Australia,field,TM Head,RK Illingworth,RA Kettleborough,CB Gaffaney,AJ Pycroft,Australia,,6,Final
