Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,playingRole,Range
Marcus Stoinis,5,4,1,0,125,Batting Allrounder,"6,7,8"
Mitchell Starc,27,51,3,0,52.9,Bowler,"7,8,9"
Mitchell Starc,27,51,3,0,52.9,Bowler,"7,8,9"
Pat Cummins,22,21,4,0,104.8,Bowler,"8,9,10"
Pat Cummins,22,21,4,0,104.8,Bowler,"8,9,10"
Adam Zampa,11,16,1,0,68.8,Bowler,"9,10,11"
Adam Zampa,11,16,1,0,68.8,Bowler,"9,10,11"
Josh Hazlewood,2,2,0,0,100,Bowler,"10,11"
Josh Hazlewood,2,2,0,0,100,Bowler,"10,11"
Quinton de Kock,3,14,0,0,21.4,Wicketkeeper Batter,1
Quinton de Kock,3,14,0,0,21.4,Wicketkeeper Batter,1
Temba Bavuma,0,4,0,0,0,Top order Batter,"1,2,3"
Temba Bavuma,0,4,0,0,0,Top order Batter,"1,2,3"
Rassie van der Dussen,6,31,0,0,19.4,Top order Batter,"2,3,4"
Rassie van der Dussen,6,31,0,0,19.4,Top order Batter,"2,3,4"
Aiden Markram,10,20,2,0,50,Opening Batter,"3,4,5"
Aiden Markram,10,20,2,0,50,Opening Batter,"3,4,5"
Heinrich Klaasen,47,48,4,2,97.9,Wicketkeeper Batter,"4,5,6"
Heinrich Klaasen,47,48,4,2,97.9,Wicketkeeper Batter,"4,5,6"
David Miller,101,116,8,5,87.1,Middle order Batter,"5,6,7"
David Miller,101,116,8,5,87.1,Middle order Batter,"5,6,7"
Marco Jansen,0,1,0,0,0,Allrounder,"6,7,8"
Marco Jansen,0,1,0,0,0,Allrounder,"6,7,8"
Gerald Coetzee,19,39,2,0,48.7,Bowler,"7,8,9"
Gerald Coetzee,19,39,2,0,48.7,Bowler,"7,8,9"
Keshav Maharaj,4,8,0,0,50,Bowler,"8,9,10"
Keshav Maharaj,4,8,0,0,50,Bowler,"8,9,10"
Kagiso Rabada,10,12,0,1,83.3,Bowler,"9,10,11"
Kagiso Rabada,10,12,0,1,83.3,Bowler,"9,10,11"
Tabraiz Shamsi,1,5,0,0,20,Bowler,"10,11"
Tabraiz Shamsi,1,5,0,0,20,Bowler,"10,11"
Travis Head,62,48,9,2,129.2,Middle order Batter,1
Travis Head,62,48,9,2,129.2,Middle order Batter,1
David Warner,29,18,1,4,161.1,Opening Batter,"1,2,3"
David Warner,29,18,1,4,161.1,Opening Batter,"1,2,3"
Mitchell Marsh,0,6,0,0,0,Allrounder,"2,3,4"
Mitchell Marsh,0,6,0,0,0,Allrounder,"2,3,4"
Steve Smith,30,62,2,0,48.4,Top order Batter,"3,4,5"
Steve Smith,30,62,2,0,48.4,Top order Batter,"3,4,5"
Marnus Labuschagne,18,31,2,0,58.1,Top order Batter,"4,5,6"
Marnus Labuschagne,18,31,2,0,58.1,Top order Batter,"4,5,6"
Glenn Maxwell,1,5,0,0,20,Batting Allrounder,"5,6,7"
Glenn Maxwell,1,5,0,0,20,Batting Allrounder,"5,6,7"
Josh Inglis,28,49,3,0,57.1,Wicketkeeper Batter,"6,7,8"
Josh Inglis,28,49,3,0,57.1,Wicketkeeper Batter,"6,7,8"
Mitchell Starc,16,38,2,0,42.1,Bowler,"7,8,9"
Mitchell Starc,16,38,2,0,42.1,Bowler,"7,8,9"
Pat Cummins,14,29,2,0,48.3,Bowler,"8,9,10"
Pat Cummins,14,29,2,0,48.3,Bowler,"8,9,10"
Litton Das,0,1,0,0,0,Wicketkeeper Batter,1
Tanzid Hasan,16,17,4,0,94.1,Top order Batter,"1,2,3"
Mehidy Hasan Miraz,30,46,4,0,65.2,Allrounder,"2,3,4"
Najmul Hossain Shanto,7,8,1,0,87.5,Top order Batter,"3,4,5"
Shakib Al Hasan,40,51,3,2,78.4,Allrounder,"4,5,6"
Mushfiqur Rahim,66,75,6,2,88,Middle order Batter,"5,6,7"
Towhid Hridoy,13,25,0,0,52,Middle order Batter,"6,7,8"
Mahmudullah,41,49,2,2,83.7,Middle order Batter,"7,8,9"
Taskin Ahmed,17,19,0,2,89.5,Bowler,"8,9,10"
Mustafizur Rahman,4,10,0,0,40,Bowler,"9,10,11"
Shoriful Islam,2,3,0,0,66.7,Bowler,"10,11"
Devon Conway,45,59,3,0,76.3,Wicketkeeper Batter,1
Rachin Ravindra,9,13,2,0,69.2,Top order Batter,"1,2,3"
Kane Williamson,78,107,8,1,72.9,Top order Batter,"2,3,4"
Daryl Mitchell,89,67,6,4,132.8,Allrounder,"3,4,5"
Glenn Phillips,16,11,1,1,145.5,Wicketkeeper Batter,"4,5,6"
Abdullah Shafique,20,24,3,0,83.3,Top order Batter,1
