Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,playingRole,Range
Nasum Ahmed,7,11,0,0,63.6,Bowler,"7,8,9"
Mahedi Hasan,2,3,0,0,66.7,Allrounder,"8,9,10"
Taskin Ahmed,0,1,0,0,0,Bowler,"9,10,11"
Travis Head,10,11,2,0,90.9,Middle order Batter,1
David Warner,53,61,6,0,86.9,Opening Batter,"1,2,3"
Mitchell Marsh,177,132,17,9,134.1,Allrounder,"2,3,4"
Steve Smith,63,64,4,1,98.4,Top order Batter,"3,4,5"
Dawid Malan,31,39,5,0,79.5,Top order Batter,1
Jonny Bairstow,59,61,7,1,96.7,Wicketkeeper Batter,"1,2,3"
Joe Root,60,72,4,0,83.3,Top order Batter,"2,3,4"
Ben Stokes,84,76,11,2,110.5,Allrounder,"3,4,5"
Jos Buttler,27,18,3,1,150,Wicketkeeper Batter,"4,5,6"
Harry Brook,30,17,2,2,176.5,Batter,"5,6,7"
Moeen Ali,8,6,0,1,133.3,Batting Allrounder,"6,7,8"
Chris Woakes,4,4,1,0,100,Allrounder,"7,8,9"
David Willey,15,5,2,1,300,Bowler,"8,9,10"
Adil Rashid,0,1,0,0,0,Bowler,"10,11"
Abdullah Shafique,0,2,0,0,0,Top order Batter,1
Fakhar Zaman,1,9,0,0,11.1,Opening Batter,"1,2,3"
Babar Azam,38,45,6,0,84.4,Top order Batter,"2,3,4"
Mohammad Rizwan,36,51,2,0,70.6,Wicketkeeper Batter,"3,4,5"
Saud Shakeel,29,37,4,0,78.4,Middle order Batter,"4,5,6"
Agha Salman,51,45,6,1,113.3,Allrounder,"5,6,7"
Iftikhar Ahmed,3,5,0,0,60,Middle order Batter,"6,7,8"
Shadab Khan,4,7,1,0,57.1,Allrounder,"7,8,9"
Shaheen Afridi,25,23,3,1,108.7,Bowler,"8,9,10"
Mohammad Wasim Jr,16,14,2,1,114.3,Bowler,"9,10,11"
Haris Rauf,35,23,3,3,152.2,Bowler,"10,11"
Rohit Sharma,61,54,8,2,113,Top order Batter,1
Shubman Gill,51,32,3,4,159.4,Top order Batter,"1,2,3"
Virat Kohli,51,56,5,1,91.1,Top order Batter,"2,3,4"
Shreyas Iyer,128,94,10,5,136.2,Top order Batter,"3,4,5"
KL Rahul,102,64,11,4,159.4,Opening Batter,"4,5,6"
Suryakumar Yadav,2,1,0,0,200,Batter,"5,6,7"
Max O'Dowd,30,42,3,1,71.4,Opening Batter,"1,2,3"
Colin Ackermann,35,32,6,0,109.4,Batting Allrounder,"2,3,4"
Bas de Leede,12,21,1,0,57.1,Batting Allrounder,"5,6,7"
Logan van Beek,16,15,2,0,106.7,Bowler,"7,8,9"
Roelof van der Merwe,16,8,1,2,200,Allrounder,"8,9,10"
Paul van Meekeren,3,4,0,0,75,Bowler,"10,11"
Rohit Sharma,47,29,4,4,162.1,Top order Batter,1
Shubman Gill,80,66,8,3,121.2,Top order Batter,"1,2,3"
Virat Kohli,117,113,9,2,103.5,Top order Batter,"2,3,4"
Shreyas Iyer,105,70,4,8,150,Top order Batter,"3,4,5"
KL Rahul,39,20,5,2,195,Opening Batter,"4,5,6"
Suryakumar Yadav,1,2,0,0,50,Batter,"5,6,7"
Devon Conway,13,15,3,0,86.7,Wicketkeeper Batter,1
Rachin Ravindra,13,22,3,0,59.1,Top order Batter,"1,2,3"
Kane Williamson,69,73,8,1,94.5,Top order Batter,"2,3,4"
Daryl Mitchell,134,119,9,7,112.6,Allrounder,"3,4,5"
Tom Latham,0,2,0,0,0,Top order Batter,"4,5,6"
Glenn Phillips,41,33,4,2,124.2,Wicketkeeper Batter,"5,6,7"
Mark Chapman,2,5,0,0,40,Middle order Batter,"6,7,8"
Mitchell Santner,9,10,0,0,90,Bowling Allrounder,"7,8,9"
Tim Southee,9,10,1,0,90,Bowler,"8,9,10"
Trent Boult,2,2,0,0,100,Bowler,"9,10,11"
Lockie Ferguson,6,3,0,1,200,Bowler,"10,11"
Rohit Sharma,47,31,4,3,151.6,Top order Batter,1
Shubman Gill,4,7,0,0,57.1,Top order Batter,"1,2,3"
Virat Kohli,54,63,4,0,85.7,Top order Batter,"2,3,4"
Shreyas Iyer,4,3,1,0,133.3,Top order Batter,"3,4,5"
KL Rahul,66,107,1,0,61.7,Opening Batter,"4,5,6"
Ravindra Jadeja,9,22,0,0,40.9,Allrounder,"5,6,7"
Suryakumar Yadav,18,28,1,0,64.3,Batter,"6,7,8"
Mohammed Shami,6,10,1,0,60,Bowler,"7,8,9"
Jasprit Bumrah,1,3,0,0,33.3,Bowler,"8,9,10"
Kuldeep Yadav,10,18,0,0,55.6,Bowler,"9,10,11"
Mohammed Siraj,9,8,1,0,112.5,Bowler,"10,11"
David Warner,7,3,1,0,233.3,Opening Batter,1
Travis Head,137,120,15,4,114.2,Middle order Batter,"1,2,3"
Mitchell Marsh,15,15,1,1,100,Allrounder,"2,3,4"
Steve Smith,4,9,1,0,44.4,Top order Batter,"3,4,5"
Marnus Labuschagne,58,110,4,0,52.7,Top order Batter,"4,5,6"
Glenn Maxwell,2,1,0,0,200,Batting Allrounder,"5,6,7"
